89 3
330.93 1306024 3946.5
759.12 138706 182.1
209.38 55749 266.3
315.05 135167 429.0
181.65 40366 272.2
1085.39 131198 120.9
1019.17 121499 119.2
576.91 141663 245.6
365.02 54456 149.2
568.54 47490 83.5
568.70 53483 94.0
459.37 27026 58.8
582.19 60539 104.0
229.36 38607 168.3
322.42 23234 72.1
347.73 30889 88.8
671.30 36300 54.1
271.42 21515 79.3
261.44 42482 162.5
961.91 154739 160.9
441.50 39590 89.7
1085.09 135459 124.8
97.93 23578 240.8
125.10 24836 198.5
505.88 38568 76.2
1207.38 174628 144.6
1336.79 152268 113.9
1055.09 79532 75.4
456.25 33033 72.4
474.83 37083 78.1
1692.89 156557 92.5
24.49 20087 820.2
858.06 74383 86.7
528.88 40814 77.2
1744.45 202356 116.0
679.88 188916 277.9
1123.26 109480 97.5
744.65 67574 90.7
1114.27 91987 82.6
973.13 106762 109.7
1199.54 136177 113.5
593.69 61065 102.9
653.04 46071 70.5
1053.85 142163 134.9
1191.14 102431 86.0
984.24 685783 696.6
55.61 97563 1754.4
310.62 145511 468.5
889.59 68424 76.9
757.54 104125 137.5
747.97 98102 131.2
528.02 75965 143.9
432.77 41756 96.5
939.95 150127 159.7
887.22 123161 138.8
1726.77 225552 130.6
538.57 89989 167.1
453.58 110799 244.3
489.63 74806 152.8
520.87 72111 138.4
223.60 35439 158.5
900.46 190239 211.3
1282.67 270471 210.9
658.07 81060 123.2
1515.92 224789 148.3
504.19 66731 132.4
870.41 77400 88.9
710.54 238722 336.0
410.80 57350 139.6
446.85 60078 134.4
859.52 77689 90.4
1672.24 174620 104.4
641.85 53229 82.9
1209.98 102429 84.7
1415.78 135007 95.4
539.99 51216 94.8
477.40 71767 150.3
561.72 62753 111.7
713.16 61575 86.3
1511.03 467367 309.3
577.75 60277 104.3
396.82 38152 96.1
717.49 72692 101.3
1026.50 123112 119.9
1048.81 120165 114.6
771.94 115852 150.1
592.27 58453 98.7
319.08 13348 41.8
323.48 69094 213.6
